,Title,Year,Id,Overview,TMDB_Id,Average_vote,Popularity,Revenue,Budget,Genre,Keywords,Cast,Director,Poster
876,Govinda Naam Mera,2022.0,tt16077702,"An abusive wife, a hot girlfriend and a court case, Govinda Waghmare is just not able to catch a break. The icing on top of that horrible cake - a murder.",663457.0,5.4,6.027,,,"['Comedy', 'Drama', 'Romance']","['marriage', 'bad marriage']","['Vicky Kaushal', 'Kiara Advani', 'Sayaji Shinde']",Shashank Khaitan,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/c93pb87QTyMIdzV6ufUZSQfVMFi.jpg
877,Ajay Wardhan,2022.0,tt21979516,"The biographical drama is based on Dr Ajay Aryan becoming a famed dental surgeon in Chandigarh, and follows the lead’s rise from being an impoverished goat herder in Haryana to achieving his goals. Meanwhile, his love story, break-up and reuniting with the love of his life also form an integral part of the tale.",1035511.0,0.0,2.613,,364000.0,,['film ajay wardhan'],"['Ruslaan Mumtaz', 'Aham Sharma', 'Aishwarya Raj Bhakuni']",Pragati Agarwal,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/nhT4brSYesZf1D1vrkIZIsQ36kj.jpg
878,Trahimam,2022.0,tt15548886,"Champa is a labourer in Dholpur village, where her employers and policemen gangrape her. As the culprits are directly related to the local MLA, they go scot free until a brave female SP steps in to bring the rape survivor justice",1134511.0,0.0,0.001,,,,[],[],,
879,Cirkus,2022.0,tt11112808,"Two sets of identical twins are accidentally separated at birth. Several years later, when they are coincidentally in the same town, there is a lot of confusion and misunderstanding when people mistake them for each other.",755045.0,3.9,13.083,,,"['Comedy', 'Drama']","['small town', 'remake', 'spin off', 'based on movie', 'twins separated at birth', 'identical twin', 'comedy of errors']","['Deepika Padukone', 'Johny Lever', 'Pooja Hegde']",Rohit Shetty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/if1EDRozDB2LJ8IO2d7lzt46Ahh.jpg
880,Kuttey,2023.0,tt15281704,"A van carrying crores of cash. One rainy night in the outskirts of Mumbai. Unaware of each other, three stray gangs cross paths on the hunt. Unfortunately, all of them have the same plan. Bullets... Blood... Betrayal... It’s every man for himself... All the dogs after one bone. Will these dogs bite the bone, or will they lose to greed?",864573.0,6.0,8.891,,,"['Comedy', 'Crime', 'Thriller']","['dark comedy', 'caper']","['Naseeruddin Shah', 'Tabu', 'Konkona Sen Sharma']",Aasmaan Bhardwaj,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/bwJHR0qzAvJLKy7EioiSRu0QivY.jpg
881,Lakadbaggha,2023.0,tt20319598,An animal loving vigilante Arjun Bakshi unearths the fact that an underground illegal animal trade cell functions from Kolkata port. On investigating he chances upon a rare species of the Indian Striped Hyena (Lakadbaggha).Will he be able to reunite with his dog while also helping other animals?,1069567.0,6.8,3.696,,,"['Action', 'Crime', 'Thriller']",[],"['Milind Soman', 'Ridhi Dogra', 'Anshuman Jha']",Victor Mukherjee,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/tgyHSVTw42PMHxnq0KOXbTVwu5C.jpg
882,Mission Majnu,2023.0,tt13131232,"Set in the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.",778946.0,6.7,12.545,,,"['Thriller', 'Action', 'Drama', 'History']",['spy thriller'],"['Rashmika Mandanna', 'Parmeet Sethi', 'Kumud Mishra']",Shantanu Bagchi,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/rYlbpbtLGMlWOnFrvBKa1LTcvOC.jpg
883,Chhatriwali,2023.0,tt15516226,"Sanya is an unemployed chemistry genius looking for a job. However, she also wants to use her knowledge of chemistry to help young minds move beyond the taboos of sex with the right education.",897515.0,5.5,5.191,,,"['Comedy', 'Drama']",[],"['Rakul Preet Singh', 'Rakesh Bedi', 'Sumeet Vyas']",Tejas Vijay Deoskar,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/yj6QBEx3QMMxfz5AqDtFEgvlfSb.jpg
884,Pathaan,2023.0,tt12844910,"A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",864692.0,6.6,41.467,130000000.0,29000000.0,"['Action', 'Adventure', 'Thriller']","['spy', 'fake death', 'spy thriller', 'yrf spy universe']","['Deepika Padukone', 'Shah Rukh Khan', 'Salman Khan']",Siddharth Anand,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/arf00BkwvXo0CFKbaD9OpqdE4Nu.jpg
885,Gandhi Godse – Ek Yudh,2023.0,tt13801462,"The video depicts the war of ideologies between Mahatma Gandhi and Nathuram Godse, increasing the curiosity level amongst the viewers to watch the film.",1067209.0,4.5,1.915,,,"['Drama', 'History']",[],"['Chinmay Mandlekar', 'Pawan Chopra', 'Deepak Antani']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/7MKuFlrrLJtiV49sxL4P640KP6M.jpg
886,Almost Pyaar with DJ Mohabbat,2023.0,tt23472806,"In pursuit of forbidden love, two young couples from different worlds find their lives entangled as rebellion and intolerance collide in dual stories.",1049623.0,3.3,6.222,,,"['Romance', 'Drama', 'Music']",[],"['Vicky Kaushal', 'Alaya F', 'Sapna Pabbi']",Anurag Kashyap,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/5OKVJdLBFB2EOjCNpZlnu09HVL1.jpg
887,Faraaz,2023.0,tt15175188,A terrifying hostage crisis unfolds over one fateful night in 2016 when heavily armed militants attack a popular cafe in Dhaka.,1019638.0,4.3,5.745,,,"['Action', 'Thriller']",[],"['Palak Lalwani', 'Juhi Babbar', 'Aamir Ali']",Hansal Mehta,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/zm44m39czUrFME5p6O0owMz7z6D.jpg
888,Shiv Shastri Balboa,2023.0,tt9859574,"Shiv Shastri, a retiree from India and a big Rocky movie fan moves to the USA and ends up on an unexpected road trip through the American heartland which teaches that it's never too old to reinvent yourself.",1022469.0,5.0,2.792,,,"['Comedy', 'Drama']",[],"['Anupam Kher', 'Neena Gupta', 'Jugal Hansraj']",Jessica Ellis,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/5BQ08rSNniscpTEl2VAQNNAY6LC.jpg
889,The Tenant,2023.0,tt8404998,"A conservative Mumbai suburb is bestirred by the arrival of an alluring cosmopolitan woman in their midst. When a wide-eyed 13-year-old boy pursues a friendship with her, he stumbles upon her secret past and is thrust headlong into adulthood.",857936.0,1.0,1.834,,,['Drama'],[],"['Sheeba Chaddha', 'Harsh Mayar', 'Rudhraksh Jaiswal']",Sushrut Jain,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/64vlorMStwi5t8jIDBUA9k1gvld.jpg
890,Lost,2023.0,tt0335266,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",153.0,7.396,38.704,119723856.0,4000000.0,"['Drama', 'Romance']","['hotel room', 'adultery', 'japan', 'unsociability', 'upper class', 'pop star', 'age difference', 'photographer', 'commercial', 'karaoke', 'homesickness', 'culture clash', 'jet lag', 'midlife crisis', 'loneliness', 'tokyo, japan', 'older man younger woman relationship', 'unlikely friendship', 'aftercreditsstinger', 'woman director', 'loving']","['Scarlett Johansson', 'Anna Faris', 'Giovanni Ribisi']",Sofia Coppola,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/4k4Yz08WGfbu8ITIjaG99XTeco8.jpg
891,Shehzada,2023.0,tt13130948,"Bantu has grown up suffering his father Valmiki’s vitriolic tongue until he discovers that he’s actually an heir to an influential family, who was exchanged at birth. He moves into their mansion to protect them from a criminal drug lord’s attack and helps the family sort their issues.",884434.0,5.589,7.204,,,"['Action', 'Comedy', 'Drama', 'Romance']","['remake', 'based on movie']","['Kriti Sanon', 'Rajpal Yadav', 'Kartik Aaryan']",Rohit Dhawan,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/rcKbsGBZCwDs1sVXNkGHqEVLzQW.jpg
892,Selfiee,2023.0,tt15516726,"RTO officer Om Prakash strikes a golden opportunity to meet his icon, Vijay Kumar. Bhut when his love gets spurned by the superstar, a clash of egos ensues.",926130.0,5.735,8.351,,10000000.0,"['Comedy', 'Drama']","['remake', 'movie star', 'superstar', 'based on movie']","['Akshay Kumar', 'Mrunal Thakur', 'Nushrratt Bharuccha']",Raj Mehta,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/1QU1MCj0gFEZzIKl6pbfLsfClbJ.jpg
893,Rabia & Olivia,2023.0,tt10481990,The story of illegal immigrant Rabia who migrates to canada and A nine year old mentally stressed child Olivia. When both comes solace for each other until Rabia makes mistake to be arrested. The search begins of Olivia for Rabia and the dramatic situations follows with twists and turns. The film is shot in Canada And India.,1089254.0,0.0,1.808,,,"['Drama', 'Family']",[],"['Sheeba Chaddha', 'Nayab Khan']",Shadab Khan,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/goRKDzysaYPxcjq9sr6VMHUm8om.jpg
894,Gulmohar,2023.0,tt18951176,"Batra family has just four days left to vacate their house of 34 years. Amidst the mayhem and uncertainties of the future, insecurities and secrets surface.",974792.0,6.2,8.876,,,"['Family', 'Drama']",['dysfunctional family'],"['Manoj Bajpayee', 'Simran', 'Jatin Goswami']",Rahul V. Chittella,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/9ovEm6ush0W19f1lV8Q3XN6l8uJ.jpg
895,InCar,2023.0,tt26744173,"Set on a national highway in Haryana, a one-day affair where three men abduct an innocent young girl from a bus stop in broad daylight and her struggle for survival and escape.",1092973.0,0.0,2.09,,,"['Thriller', 'Drama']",[],"['Ritika Singh', 'Gyan Prakash', 'Sandeep Goyat']",Harsh Warrdhan,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/rBC4KmKsAImwKiWcX9DCFd43t9h.jpg
